Date,Country,Opponent,GoalsScored,GoalsReceived,Venue,Competition,IsHome,ExtraTime,Penalties,PenScored,PenReceived
1995-07-06,Paraguay,Mexico,2,1,Maldonado,Copa America,FALSE,FALSE,FALSE,0,0
1995-07-09,Paraguay,Uruguay,0,1,Montevideo,Copa America,FALSE,FALSE,FALSE,0,0
1995-07-12,Paraguay,Venezuela,3,2,Maldonado,Copa America,FALSE,FALSE,FALSE,0,0
1995-07-16,Paraguay,Colombia,1,1,Montevideo,Copa America,FALSE,FALSE,TRUE,4,5
1997-06-11,Paraguay,Chile,1,0,Cochabamba,Copa America,FALSE,FALSE,FALSE,0,0
1997-06-14,Paraguay,Ecuador,0,2,Cochabamba,Copa America,FALSE,FALSE,FALSE,0,0
1997-06-17,Paraguay,Argentina,1,1,Cochabamba,Copa America,FALSE,FALSE,FALSE,0,0
1997-06-22,Paraguay,Brazil,0,2,Santa Cruz,Copa America,FALSE,FALSE,FALSE,0,0
1999-06-29,Paraguay,Bolivia,0,0,Asuncion,Copa America,TRUE,FALSE,FALSE,0,0
1999-07-05,Paraguay,Peru,1,0,Pedro Juan Caballero,Copa America,TRUE,FALSE,FALSE,0,0
1999-07-10,Paraguay,Uruguay,1,1,Asuncion,Copa America,TRUE,FALSE,TRUE,3,5
2001-07-12,Paraguay,Peru,3,3,Cali,Copa America,FALSE,FALSE,FALSE,0,0
2001-07-15,Paraguay,Mexico,0,0,Cali,Copa America,FALSE,FALSE,FALSE,0,0
2001-07-18,Paraguay,Brazil,1,3,Cali,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-08,Paraguay,Costa Rica,1,0,Arequipa,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-11,Paraguay,Chile,1,1,Arequipa,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-14,Paraguay,Brazil,2,1,Arequipa,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-18,Paraguay,Uruguay,1,3,Tacna,Copa America,FALSE,FALSE,FALSE,0,0
